timestamp,value
1717852800000000000,0.523599
1717852800010000000,0.523938
1717852800020000000,0.524277
1717852800030000000,0.524616
1717852800040000000,0.524954
1717852800050000000,0.525293
1717852800060000000,0.525631
1717852800070000000,0.525969
1717852800080000000,0.526306
1717852800090000000,0.526643
1717852800100000000,0.526979
1717852800110000000,0.527315
1717852800120000000,0.527650
1717852800130000000,0.527985
1717852800140000000,0.528319
1717852800150000000,0.528651
1717852800160000000,0.528983
1717852800170000000,0.529315
1717852800180000000,0.529645
1717852800190000000,0.529974
1717852800200000000,0.530302
1717852800210000000,0.530629
1717852800220000000,0.530955
1717852800230000000,0.531279
1717852800240000000,0.531602
1717852800250000000,0.531924
1717852800260000000,0.532244
1717852800270000000,0.532563
1717852800280000000,0.532881
1717852800290000000,0.533196
1717852800300000000,0.533511
1717852800310000000,0.533823
1717852800320000000,0.534134
1717852800330000000,0.534443
1717852800340000000,0.534751
1717852800350000000,0.535056
1717852800360000000,0.535360
1717852800370000000,0.535661
1717852800380000000,0.535961
1717852800390000000,0.536258
1717852800400000000,0.536554
1717852800410000000,0.536847
1717852800420000000,0.537138
1717852800430000000,0.537427
1717852800440000000,0.537714
1717852800450000000,0.537999
1717852800460000000,0.538281
1717852800470000000,0.538561
1717852800480000000,0.538838
1717852800490000000,0.539113
1717852800500000000,0.539385
1717852800510000000,0.539655
1717852800520000000,0.539923
1717852800530000000,0.540188
1717852800540000000,0.540450
1717852800550000000,0.540709
1717852800560000000,0.540966
1717852800570000000,0.541221
1717852800580000000,0.541472
1717852800590000000,0.541721
1717852800600000000,0.541967
1717852800610000000,0.542210
1717852800620000000,0.542450
1717852800630000000,0.542688
1717852800640000000,0.542922
1717852800650000000,0.543154
1717852800660000000,0.543383
1717852800670000000,0.543609
1717852800680000000,0.543832
1717852800690000000,0.544052
1717852800700000000,0.544269
1717852800710000000,0.544482
1717852800720000000,0.544693
1717852800730000000,0.544901
1717852800740000000,0.545106
1717852800750000000,0.545308
1717852800760000000,0.545507
1717852800770000000,0.545702
1717852800780000000,0.545895
1717852800790000000,0.546084
1717852800800000000,0.546271
1717852800810000000,0.546454
1717852800820000000,0.546634
1717852800830000000,0.546811
1717852800840000000,0.546985
1717852800850000000,0.547156
1717852800860000000,0.547324
1717852800870000000,0.547489
1717852800880000000,0.547651
1717852800890000000,0.547809
1717852800900000000,0.547965
1717852800910000000,0.548117
1717852800920000000,0.548266
1717852800930000000,0.548413
1717852800940000000,0.548556
1717852800950000000,0.548696
1717852800960000000,0.548833
1717852800970000000,0.548967
1717852800980000000,0.549098
1717852800990000000,0.549226
1717852801000000000,0.549352
1717852801010000000,0.549474
1717852801020000000,0.549593
1717852801030000000,0.549710
1717852801040000000,0.549823
1717852801050000000,0.549934
1717852801060000000,0.550041
1717852801070000000,0.550146
1717852801080000000,0.550249
1717852801090000000,0.550348
1717852801100000000,0.550445
1717852801110000000,0.550539
1717852801120000000,0.550630
1717852801130000000,0.550718
1717852801140000000,0.550804
1717852801150000000,0.550888
1717852801160000000,0.550968
1717852801170000000,0.551047
1717852801180000000,0.551123
1717852801190000000,0.551196
1717852801200000000,0.551267
1717852801210000000,0.551335
1717852801220000000,0.551401
1717852801230000000,0.551465
1717852801240000000,0.551527
1717852801250000000,0.551586
1717852801260000000,0.551643
1717852801270000000,0.551698
1717852801280000000,0.551751
1717852801290000000,0.551802
1717852801300000000,0.551851
1717852801310000000,0.551897
1717852801320000000,0.551942
1717852801330000000,0.551985
1717852801340000000,0.552026
1717852801350000000,0.552066
1717852801360000000,0.552103
1717852801370000000,0.552139
1717852801380000000,0.552174
1717852801390000000,0.552206
1717852801400000000,0.552237
1717852801410000000,0.552267
1717852801420000000,0.552295
1717852801430000000,0.552322
1717852801440000000,0.552348
1717852801450000000,0.552372
1717852801460000000,0.552395
1717852801470000000,0.552417
1717852801480000000,0.552437
1717852801490000000,0.552457
1717852801500000000,0.552475
1717852801510000000,0.552493
1717852801520000000,0.552510
1717852801530000000,0.552526
1717852801540000000,0.552541
1717852801550000000,0.552555
1717852801560000000,0.552569
1717852801570000000,0.552582
1717852801580000000,0.552594
1717852801590000000,0.552606
1717852801600000000,0.552618
1717852801610000000,0.552629
1717852801620000000,0.552640
1717852801630000000,0.552650
1717852801640000000,0.552661
1717852801650000000,0.552671
1717852801660000000,0.552681
1717852801670000000,0.552691
1717852801680000000,0.552701
1717852801690000000,0.552711
1717852801700000000,0.552721
1717852801710000000,0.552732
1717852801720000000,0.552743
1717852801730000000,0.552754
1717852801740000000,0.552765
1717852801750000000,0.552777
1717852801760000000,0.552789
1717852801770000000,0.552802
1717852801780000000,0.552816
1717852801790000000,0.552830
