timestamp_ns,value_degC
1722502800000000000,0.675
1722502800010000000,-0.669
1722502800020000000,-0.048
1722502800030000000,1.025
1722502800040000000,0.293
1722502800050000000,-0.676
1722502800060000000,-1.644
1722502800070000000,-0.446
1722502800080000000,0.326
1722502800090000000,0.637
1722502800100000000,0.099
1722502800110000000,-0.260
1722502800120000000,2.300
1722502800130000000,0.217
1722502800140000000,0.333
1722502800150000000,-1.114
1722502800160000000,0.473
1722502800170000000,-1.233
1722502800180000000,0.743
1722502800190000000,0.756
1722502800200000000,0.125
1722502800210000000,1.513
1722502800220000000,-0.344
1722502800230000000,-1.194
1722502800240000000,1.481
1722502800250000000,0.014
1722502800260000000,-1.368
1722502800270000000,0.847
1722502800280000000,0.577
1722502800290000000,0.300
1722502800300000000,0.639
1722502800310000000,-0.464
1722502800320000000,-2.030
1722502800330000000,-1.032
1722502800340000000,-1.032
1722502800350000000,-0.791
1722502800360000000,-0.243
1722502800370000000,0.168
1722502800380000000,0.628
1722502800390000000,0.270
1722502800400000000,1.631
1722502800410000000,1.822
1722502800420000000,-0.713
1722502800430000000,-0.515
1722502800440000000,-0.605
1722502800450000000,-1.072
1722502800460000000,1.257
1722502800470000000,0.353
1722502800480000000,-1.354
1722502800490000000,0.948
1722502800500000000,-0.892
1722502800510000000,1.046
1722502800520000000,-0.537
1722502800530000000,0.319
1722502800540000000,1.614
1722502800550000000,-0.803
1722502800560000000,0.780
1722502800570000000,-0.450
1722502800580000000,-0.416
1722502800590000000,0.614
1722502800600000000,-0.615
1722502800610000000,1.100
1722502800620000000,0.696
1722502800630000000,-0.149
1722502800640000000,0.309
1722502800650000000,-0.235
1722502800660000000,0.018
1722502800670000000,0.631
1722502800680000000,1.044
1722502800690000000,1.447
1722502800700000000,1.300
1722502800710000000,0.908
1722502800720000000,-0.301
1722502800730000000,-0.587
1722502800740000000,0.635
1722502800750000000,0.424
1722502800760000000,-0.524
1722502800770000000,-0.377
1722502800780000000,-1.182
1722502800790000000,1.169
1722502800800000000,-1.435
1722502800810000000,0.524
1722502800820000000,0.632
1722502800830000000,0.056
1722502800840000000,-0.288
1722502800850000000,2.352
1722502800860000000,0.288
1722502800870000000,0.221
1722502800880000000,-0.710
1722502800890000000,-0.187
1722502800900000000,-1.689
1722502800910000000,1.667
1722502800920000000,-1.201
1722502800930000000,-1.351
1722502800940000000,-0.873
1722502800950000000,1.580
1722502800960000000,-1.072
1722502800970000000,-0.578
1722502800980000000,-0.139
1722502800990000000,1.427
1722502801000000000,1.108
1722502801010000000,0.530
1722502801020000000,0.163
1722502801030000000,0.361
1722502801040000000,-0.164
1722502801050000000,-0.606
1722502801060000000,0.491
1722502801070000000,-0.908
1722502801080000000,1.394
1722502801090000000,0.214
1722502801100000000,-0.421
1722502801110000000,-0.154
1722502801120000000,-1.289
1722502801130000000,-1.620
1722502801140000000,-1.106
1722502801150000000,-1.629
1722502801160000000,-0.795
1722502801170000000,1.003
1722502801180000000,0.500
1722502801190000000,-0.676
1722502801200000000,-1.004
1722502801210000000,-0.666
1722502801220000000,0.303
1722502801230000000,2.473
1722502801240000000,0.152
1722502801250000000,-0.536
1722502801260000000,-1.547
1722502801270000000,1.398
1722502801280000000,-0.974
1722502801290000000,-1.809
1722502801300000000,-1.059
1722502801310000000,0.248
1722502801320000000,0.149
1722502801330000000,-0.626
1722502801340000000,-0.011
1722502801350000000,-0.087
1722502801360000000,-1.481
1722502801370000000,-0.284
1722502801380000000,0.319
1722502801390000000,-1.372
1722502801400000000,-0.693
1722502801410000000,0.935
1722502801420000000,0.046
1722502801430000000,-0.054
1722502801440000000,0.156
1722502801450000000,-0.291
1722502801460000000,-1.037
1722502801470000000,-0.970
1722502801480000000,-1.181
1722502801490000000,-0.181
1722502801500000000,-0.003
1722502801510000000,-1.497
1722502801520000000,0.921
1722502801530000000,-0.350
1722502801540000000,0.703
1722502801550000000,-0.122
1722502801560000000,0.485
1722502801570000000,-0.272
1722502801580000000,1.625
1722502801590000000,0.278
1722502801600000000,0.686
1722502801610000000,0.962
1722502801620000000,-0.179
1722502801630000000,-0.624
1722502801640000000,-0.013
1722502801650000000,0.960
1722502801660000000,-0.427
1722502801670000000,0.384
1722502801680000000,1.645
1722502801690000000,-1.219
1722502801700000000,-0.043
1722502801710000000,1.784
1722502801720000000,-0.874
1722502801730000000,-0.235
1722502801740000000,0.814
1722502801750000000,0.609
1722502801760000000,0.656
1722502801770000000,1.200
1722502801780000000,0.617
1722502801790000000,0.451
1722502801800000000,-0.038
1722502801810000000,1.160
1722502801820000000,-0.022
1722502801830000000,0.183
1722502801840000000,-0.036
1722502801850000000,-1.786
1722502801860000000,0.409
1722502801870000000,0.669
1722502801880000000,-0.730
1722502801890000000,-0.142
1722502801900000000,1.390
1722502801910000000,1.616
1722502801920000000,0.274
1722502801930000000,0.457
1722502801940000000,0.903
1722502801950000000,-0.771
1722502801960000000,0.377
1722502801970000000,0.739
1722502801980000000,-0.767
1722502801990000000,-0.029
1722502802000000000,1.148
1722502802009999999,1.796
1722502802020000000,5.176
1722502802029999999,1.285
1722502802040000000,-1.745
1722502802049999999,5.799
1722502802060000000,1.426
1722502802069999999,-2.470
1722502802080000000,5.624
1722502802089999999,7.320
1722502802100000000,8.907
1722502802109999999,6.821
1722502802120000000,5.220
1722502802130000000,10.490
1722502802140000000,9.197
1722502802150000000,10.304
1722502802160000000,11.521
1722502802170000000,14.201
1722502802180000000,7.269
1722502802190000000,10.099
1722502802200000000,9.991
1722502802210000000,12.659
1722502802220000000,11.644
1722502802230000000,14.064
1722502802240000000,16.647
1722502802250000000,16.576
1722502802260000000,12.030
1722502802270000000,16.116
1722502802280000000,20.439
1722502802290000000,15.989
1722502802300000000,23.320
1722502802310000000,23.167
1722502802320000000,22.135
1722502802330000000,24.034
1722502802340000000,18.801
1722502802350000000,23.857
1722502802360000000,27.495
1722502802370000000,24.584
1722502802380000000,19.678
1722502802390000000,23.340
1722502802400000000,28.332
1722502802410000000,24.400
1722502802420000000,31.825
1722502802430000000,27.410
1722502802440000000,27.337
1722502802450000000,27.961
1722502802460000000,28.438
1722502802470000000,32.548
1722502802480000000,29.612
1722502802490000000,30.000
1722502802500000000,36.191
1722502802510000000,34.410
1722502802520000000,38.013
1722502802530000000,34.893
1722502802540000000,32.836
1722502802550000000,34.687
1722502802560000000,37.884
1722502802570000000,36.713
1722502802580000000,36.420
1722502802590000000,36.956
1722502802600000000,40.554
1722502802610000000,39.045
1722502802620000000,39.600
1722502802630000000,42.128
1722502802640000000,34.961
1722502802650000000,37.160
1722502802660000000,42.296
1722502802670000000,40.511
1722502802680000000,44.577
1722502802690000000,42.537
1722502802700000000,40.458
1722502802710000000,44.462
1722502802720000000,45.766
1722502802730000000,46.719
1722502802740000000,43.317
1722502802750000000,52.128
1722502802760000000,45.043
1722502802770000000,47.315
1722502802780000000,49.507
1722502802790000000,52.130
1722502802800000000,52.939
1722502802810000000,49.904
1722502802820000000,51.415
1722502802830000000,49.272
1722502802840000000,53.880
1722502802850000000,53.803
1722502802860000000,51.826
1722502802870000000,57.785
1722502802880000000,56.986
1722502802890000000,55.009
1722502802900000000,57.570
1722502802910000000,55.937
1722502802920000000,60.664
1722502802930000000,60.916
1722502802940000000,57.701
1722502802950000000,61.241
1722502802960000000,62.353
1722502802970000000,56.959
1722502802980000000,59.537
1722502802990000000,65.533
1722502803000000000,69.739
1722502803010000000,73.757
1722502803020000000,75.630
1722502803030000000,65.412
1722502803040000000,66.849
1722502803050000000,71.119
1722502803060000000,64.713
1722502803070000000,67.977
1722502803080000000,70.088
1722502803090000000,69.458
1722502803100000000,73.257
1722502803110000000,66.417
1722502803120000000,67.667
1722502803130000000,70.275
1722502803140000000,70.445
1722502803150000000,71.734
1722502803160000000,72.605
1722502803170000000,71.027
1722502803180000000,70.511
1722502803190000000,69.652
1722502803200000000,73.458
1722502803210000000,72.695
1722502803220000000,70.396
1722502803230000000,72.374
1722502803240000000,69.874
1722502803250000000,66.593
1722502803260000000,71.856
1722502803270000000,69.631
1722502803280000000,69.821
1722502803290000000,71.726
1722502803300000000,71.843
1722502803310000000,71.883
1722502803320000000,73.893
1722502803330000000,67.213
1722502803340000000,74.171
1722502803350000000,66.725
1722502803360000000,69.996
1722502803370000000,73.084
1722502803380000000,73.315
1722502803390000000,70.653
1722502803400000000,70.042
1722502803410000000,75.161
1722502803420000000,75.490
1722502803430000000,78.769
1722502803440000000,75.647
1722502803450000000,73.224
1722502803460000000,74.361
1722502803470000000,75.681
1722502803480000000,76.349
1722502803490000000,76.360
1722502803500000000,77.917
1722502803510000000,76.370
1722502803520000000,75.486
1722502803530000000,72.274
1722502803540000000,72.605
1722502803550000000,72.456
1722502803560000000,75.085
1722502803570000000,75.898
1722502803580000000,73.250
1722502803590000000,76.292
1722502803600000000,74.828
1722502803610000000,77.725
1722502803620000000,73.298
1722502803630000000,76.586
1722502803640000000,75.244
1722502803650000000,79.380
1722502803660000000,76.001
1722502803670000000,78.478
1722502803680000000,79.502
1722502803690000000,75.127
1722502803700000000,77.350
1722502803710000000,75.432
1722502803720000000,78.018
1722502803730000000,76.362
1722502803740000000,80.496
1722502803750000000,77.077
1722502803760000000,78.349
1722502803770000000,70.585
1722502803780000000,78.440
1722502803790000000,78.291
1722502803800000000,80.632
1722502803810000000,76.516
1722502803820000000,80.090
1722502803830000000,84.212
1722502803840000000,78.953
1722502803850000000,78.950
1722502803860000000,82.110
1722502803870000000,80.091
1722502803880000000,82.885
1722502803890000000,81.956
1722502803900000000,78.287
1722502803910000000,76.371
1722502803920000000,85.244
1722502803930000000,81.298
1722502803940000000,82.325
1722502803950000000,78.995
1722502803960000000,79.940
1722502803970000000,82.754
1722502803980000000,80.117
1722502803990000000,82.482
1722502804000000000,84.501
1722502804010000000,82.057
1722502804019999999,80.201
1722502804030000000,82.767
1722502804040000000,81.161
1722502804050000000,84.873
1722502804059999999,82.647
1722502804070000000,83.140
1722502804080000000,88.772
1722502804090000000,83.772
1722502804099999999,89.532
1722502804110000000,84.030
1722502804120000000,88.400
1722502804130000000,86.585
1722502804139999999,81.728
1722502804150000000,83.507
1722502804160000000,86.817
1722502804170000000,86.527
1722502804179999999,85.722
1722502804190000000,87.985
1722502804200000000,88.489
1722502804210000000,90.931
1722502804219999999,84.265
1722502804230000000,85.634
1722502804240000000,83.061
1722502804250000000,83.965
1722502804260000000,89.650
1722502804269999999,89.357
1722502804280000000,93.350
1722502804290000000,92.743
1722502804300000000,85.184
1722502804310000000,92.022
1722502804320000000,91.359
1722502804330000000,87.168
1722502804340000000,94.872
1722502804350000000,91.188
1722502804360000000,91.186
1722502804370000000,90.025
1722502804380000000,94.823
1722502804390000000,95.792
1722502804400000000,94.591
1722502804410000000,92.881
1722502804420000000,97.413
1722502804430000000,99.264
1722502804440000000,99.632
1722502804450000000,95.798
1722502804460000000,95.747
1722502804470000000,96.484
1722502804480000000,96.325
1722502804490000000,96.262
1722502804500000000,94.561
1722502804510000000,93.734
1722502804520000000,98.477
1722502804530000000,100.891
1722502804540000000,99.506
1722502804550000000,94.791
1722502804560000000,98.279
1722502804570000000,102.319
1722502804580000000,99.486
1722502804590000000,100.830
1722502804600000000,98.780
1722502804610000000,102.449
1722502804620000000,94.086
1722502804630000000,98.826
1722502804640000000,100.907
1722502804650000000,107.032
1722502804660000000,101.608
1722502804670000000,101.534
1722502804680000000,103.173
1722502804690000000,103.622
1722502804700000000,103.702
1722502804710000000,100.802
1722502804720000000,101.287
1722502804730000000,102.307
1722502804740000000,104.691
1722502804750000000,107.681
1722502804760000000,108.416
1722502804770000000,106.799
1722502804780000000,110.973
1722502804790000000,109.008
1722502804800000000,107.846
1722502804810000000,107.833
1722502804820000000,108.679
1722502804830000000,108.365
1722502804840000000,110.885
1722502804850000000,110.953
1722502804860000000,108.532
1722502804870000000,117.050
1722502804880000000,113.650
1722502804890000000,114.729
1722502804900000000,115.983
1722502804910000000,114.898
1722502804920000000,111.641
1722502804930000000,115.770
1722502804940000000,118.818
1722502804950000000,115.531
1722502804960000000,111.250
1722502804970000000,117.216
1722502804980000000,113.220
1722502804990000000,120.607
1722502805000000000,116.494
1722502805010000000,114.278
1722502805020000000,114.251
1722502805030000000,121.286
1722502805040000000,122.074
1722502805050000000,123.269
1722502805060000000,119.647
1722502805070000000,122.043
1722502805080000000,123.149
1722502805090000000,121.940
1722502805100000000,121.654
1722502805110000000,123.698
1722502805120000000,122.649
1722502805130000000,121.110
1722502805140000000,118.863
1722502805150000000,123.993
1722502805160000000,129.089
1722502805170000000,120.168
1722502805180000000,127.725
1722502805190000000,121.869
1722502805200000000,128.586
1722502805210000000,129.474
1722502805220000000,127.202
1722502805230000000,127.399
1722502805240000000,134.783
1722502805250000000,129.216
1722502805260000000,128.204
1722502805270000000,127.674
1722502805280000000,133.250
1722502805290000000,126.726
1722502805300000000,134.485
1722502805310000000,133.447
1722502805320000000,134.930
1722502805330000000,130.450
1722502805340000000,134.009
1722502805350000000,131.837
1722502805360000000,134.835
1722502805370000000,135.321
1722502805380000000,134.854
1722502805390000000,133.809
1722502805400000000,133.512
1722502805410000000,132.699
1722502805420000000,139.554
1722502805430000000,138.660
1722502805440000000,140.343
1722502805450000000,139.468
1722502805460000000,138.483
1722502805470000000,142.579
1722502805480000000,143.096
1722502805490000000,139.598
1722502805500000000,139.629
1722502805510000000,139.040
1722502805520000000,145.466
1722502805530000000,139.803
1722502805540000000,141.784
1722502805550000000,144.592
1722502805560000000,144.825
1722502805570000000,144.014
1722502805580000000,141.865
1722502805590000000,148.383
1722502805600000000,145.300
1722502805610000000,151.701
1722502805620000000,151.100
1722502805630000000,150.269
1722502805640000000,147.780
1722502805650000000,148.202
1722502805660000000,149.342
1722502805670000000,150.458
1722502805680000000,151.011
1722502805690000000,151.193
1722502805700000000,154.245
1722502805710000000,150.615
1722502805720000000,149.508
1722502805730000000,152.657
1722502805740000000,155.484
