timestamp_ns,value_ustrain
1724058000000000000,-0.338
1724058000010000000,-3.493
1724058000020000000,-2.184
1724058000030000000,5.156
1724058000040000000,1.926
1724058000050000000,-5.349
1724058000060000000,-1.475
1724058000070000000,-3.046
1724058000080000000,-0.573
1724058000090000000,0.131
1724058000100000000,5.177
1724058000110000000,-0.894
1724058000120000000,0.500
1724058000130000000,-1.623
1724058000140000000,-2.882
1724058000150000000,2.549
1724058000160000000,2.979
1724058000170000000,4.191
1724058000180000000,-2.343
1724058000190000000,-3.525
1724058000200000000,-5.352
1724058000210000000,-0.086
1724058000220000000,-4.342
1724058000230000000,-1.070
1724058000240000000,-5.042
1724058000250000000,-0.929
1724058000260000000,-2.275
1724058000270000000,-5.321
1724058000280000000,2.491
1724058000290000000,-7.943
1724058000300000000,2.551
1724058000310000000,1.164
1724058000320000000,-1.462
1724058000330000000,-3.255
1724058000340000000,3.673
1724058000350000000,0.221
1724058000360000000,0.823
1724058000370000000,0.451
1724058000380000000,5.066
1724058000390000000,-2.623
1724058000400000000,0.860
1724058000410000000,-1.300
1724058000420000000,-4.689
1724058000430000000,-1.406
1724058000440000000,2.453
1724058000450000000,-3.692
1724058000460000000,-3.881
1724058000470000000,-2.428
1724058000480000000,2.931
1724058000490000000,-2.451
1724058000500000000,-0.526
1724058000510000000,-4.010
1724058000520000000,-1.512
1724058000530000000,0.562
1724058000540000000,4.628
1724058000550000000,-0.210
1724058000560000000,-1.574
1724058000570000000,-1.552
1724058000580000000,-4.750
1724058000590000000,-4.959
1724058000600000000,-2.028
1724058000610000000,1.699
1724058000620000000,3.430
1724058000630000000,1.846
1724058000640000000,-0.206
1724058000650000000,1.818
1724058000660000000,0.106
1724058000670000000,-1.892
1724058000680000000,3.281
1724058000690000000,1.523
1724058000700000000,-1.017
1724058000710000000,-0.119
1724058000720000000,3.010
1724058000730000000,0.230
1724058000740000000,-1.273
1724058000750000000,-0.377
1724058000760000000,0.243
1724058000770000000,3.916
1724058000780000000,2.939
1724058000790000000,2.911
1724058000800000000,7.198
1724058000810000000,1.868
1724058000820000000,-0.001
1724058000830000000,1.595
1724058000840000000,3.996
1724058000850000000,-3.804
1724058000860000000,-5.227
1724058000870000000,1.551
