timestamp_ns,value_kN
1723539600000000000,0.189
1723539600010000000,0.000
1723539600020000000,0.000
1723539600030000000,0.072
1723539600040000000,0.082
1723539600050000000,0.000
1723539600060000000,0.000
1723539600070000000,0.191
1723539600080000000,0.000
1723539600090000000,0.000
1723539600100000000,0.000
1723539600110000000,0.000
1723539600120000000,0.107
1723539600130000000,0.043
1723539600140000000,0.000
1723539600150000000,0.000
1723539600160000000,0.000
1723539600170000000,0.000
1723539600180000000,0.047
1723539600190000000,0.131
1723539600200000000,0.000
1723539600210000000,0.021
1723539600220000000,0.000
1723539600230000000,0.000
1723539600240000000,0.247
1723539600250000000,0.000
1723539600260000000,0.087
1723539600270000000,0.000
1723539600280000000,0.000
1723539600290000000,0.000
1723539600300000000,0.086
1723539600310000000,0.000
1723539600320000000,0.000
1723539600330000000,0.000
1723539600340000000,0.003
1723539600350000000,0.000
1723539600360000000,0.021
1723539600370000000,0.092
1723539600380000000,0.000
1723539600390000000,0.000
1723539600400000000,0.184
1723539600410000000,0.000
1723539600420000000,0.000
1723539600430000000,0.047
1723539600440000000,0.000
1723539600450000000,0.207
1723539600460000000,0.004
1723539600470000000,0.098
1723539600480000000,0.029
1723539600490000000,0.000
1723539600500000000,0.000
1723539600510000000,0.000
1723539600520000000,0.018
1723539600530000000,0.000
1723539600540000000,0.028
1723539600550000000,0.125
1723539600560000000,0.000
1723539600570000000,0.000
1723539600580000000,0.000
1723539600590000000,0.000
1723539600600000000,0.000
1723539600610000000,0.149
1723539600620000000,0.000
1723539600630000000,0.199
1723539600640000000,0.368
1723539600650000000,0.001
1723539600660000000,0.000
1723539600670000000,0.006
1723539600680000000,0.000
1723539600690000000,0.217
1723539600700000000,0.000
1723539600710000000,0.000
1723539600720000000,0.000
1723539600730000000,0.175
1723539600740000000,0.000
1723539600750000000,0.000
1723539600760000000,0.000
1723539600770000000,0.000
1723539600780000000,0.000
1723539600790000000,0.034
1723539600800000000,0.049
1723539600810000000,0.160
1723539600820000000,0.185
1723539600830000000,0.000
1723539600840000000,0.000
1723539600850000000,0.154
1723539600860000000,0.015
1723539600870000000,0.000
1723539600880000000,0.000
1723539600890000000,0.000
1723539600900000000,0.000
1723539600910000000,0.059
1723539600920000000,0.000
1723539600930000000,0.029
1723539600940000000,0.000
1723539600950000000,0.000
1723539600960000000,0.000
1723539600970000000,0.000
1723539600980000000,0.088
1723539600990000000,0.000
1723539601000000000,0.000
1723539601010000000,0.054
1723539601020000000,0.000
1723539601030000000,0.148
1723539601040000000,0.000
1723539601050000000,0.000
1723539601060000000,0.009
1723539601070000000,0.000
1723539601080000000,0.000
1723539601090000000,0.000
1723539601100000000,0.031
1723539601110000000,0.000
1723539601120000000,0.030
1723539601130000000,0.000
1723539601140000000,0.138
1723539601150000000,0.175
1723539601160000000,0.000
1723539601170000000,0.061
1723539601180000000,0.060
1723539601190000000,0.000
1723539601200000000,0.152
1723539601210000000,0.000
1723539601220000000,0.000
1723539601230000000,0.000
1723539601240000000,0.026
1723539601250000000,0.007
1723539601260000000,0.000
1723539601270000000,0.000
1723539601280000000,0.138
1723539601290000000,0.000
1723539601300000000,0.000
1723539601310000000,0.000
1723539601320000000,0.080
1723539601330000000,0.000
1723539601340000000,0.000
1723539601350000000,0.235
1723539601360000000,0.000
1723539601370000000,0.000
1723539601380000000,0.024
1723539601390000000,0.000
1723539601400000000,0.019
1723539601410000000,0.000
1723539601420000000,0.057
1723539601430000000,0.000
1723539601440000000,0.000
1723539601450000000,0.000
1723539601460000000,0.015
1723539601470000000,0.000
1723539601480000000,0.154
1723539601490000000,0.002
1723539601500000000,0.000
1723539601510000000,0.000
1723539601520000000,0.193
1723539601530000000,0.273
1723539601540000000,0.000
1723539601550000000,0.000
1723539601560000000,0.046
1723539601570000000,0.078
1723539601580000000,0.140
1723539601590000000,0.000
1723539601600000000,0.000
1723539601610000000,0.000
1723539601620000000,0.056
1723539601630000000,0.000
1723539601640000000,0.079
1723539601650000000,0.063
1723539601660000000,0.000
1723539601670000000,0.073
1723539601680000000,0.000
1723539601690000000,0.185
1723539601700000000,0.000
1723539601710000000,0.000
1723539601720000000,0.096
1723539601730000000,0.000
1723539601740000000,0.068
1723539601750000000,0.000
1723539601760000000,0.000
1723539601770000000,0.120
1723539601780000000,0.000
1723539601790000000,0.000
1723539601800000000,0.000
1723539601810000000,0.000
1723539601820000000,0.000
1723539601830000000,0.000
1723539601840000000,0.075
1723539601850000000,0.038
1723539601860000000,0.133
1723539601870000000,0.178
1723539601880000000,0.000
1723539601890000000,0.048
1723539601900000000,0.042
1723539601910000000,0.103
1723539601920000000,0.089
1723539601930000000,0.055
1723539601940000000,0.000
1723539601950000000,0.050
1723539601960000000,0.000
1723539601970000000,0.039
1723539601980000000,0.221
1723539601990000000,0.000
1723539602000000000,0.000
1723539602009999999,0.058
1723539602020000000,0.010
1723539602029999999,0.358
1723539602040000000,0.898
1723539602049999999,0.623
1723539602060000000,0.755
1723539602069999999,0.511
1723539602080000000,0.484
1723539602089999999,0.860
1723539602100000000,0.338
1723539602109999999,0.085
1723539602120000000,0.249
1723539602130000000,0.893
1723539602140000000,0.468
1723539602150000000,0.892
1723539602160000000,0.948
1723539602170000000,1.597
1723539602180000000,1.516
1723539602190000000,1.352
1723539602200000000,1.334
1723539602210000000,1.600
1723539602220000000,2.039
1723539602230000000,1.628
1723539602240000000,2.062
1723539602250000000,2.297
1723539602260000000,2.111
1723539602270000000,2.061
1723539602280000000,1.922
1723539602290000000,2.114
1723539602300000000,2.065
1723539602310000000,2.123
1723539602320000000,2.718
1723539602330000000,2.333
1723539602340000000,2.403
1723539602350000000,2.344
1723539602360000000,3.136
1723539602370000000,2.980
1723539602380000000,2.534
1723539602390000000,3.242
1723539602400000000,2.804
1723539602410000000,2.856
1723539602420000000,3.600
1723539602430000000,3.389
1723539602440000000,3.811
1723539602450000000,3.214
1723539602460000000,3.296
1723539602470000000,3.287
1723539602480000000,3.545
1723539602490000000,3.771
1723539602500000000,3.913
1723539602510000000,3.493
1723539602520000000,4.052
1723539602530000000,3.891
1723539602540000000,4.175
1723539602550000000,4.091
1723539602560000000,4.197
1723539602570000000,4.505
1723539602580000000,4.330
1723539602590000000,4.219
1723539602600000000,4.716
1723539602610000000,4.671
1723539602620000000,4.042
1723539602630000000,4.434
1723539602640000000,4.637
1723539602650000000,4.631
1723539602660000000,4.295
1723539602670000000,5.081
1723539602680000000,5.597
1723539602690000000,5.266
1723539602700000000,5.006
1723539602710000000,5.183
1723539602720000000,5.693
1723539602730000000,5.692
1723539602740000000,6.262
1723539602750000000,5.602
1723539602760000000,5.988
1723539602770000000,5.624
1723539602780000000,5.574
1723539602790000000,6.248
1723539602800000000,6.089
1723539602810000000,5.966
1723539602820000000,6.411
1723539602830000000,6.342
1723539602840000000,6.579
1723539602850000000,6.333
1723539602860000000,6.296
1723539602870000000,6.321
1723539602880000000,6.294
1723539602890000000,6.443
1723539602900000000,6.227
1723539602910000000,6.685
1723539602920000000,6.886
1723539602930000000,6.627
1723539602940000000,6.998
1723539602950000000,7.077
1723539602960000000,6.860
1723539602970000000,8.191
1723539602980000000,7.584
1723539602990000000,7.489
1723539603000000000,8.211
1723539603010000000,8.513
1723539603020000000,8.271
1723539603030000000,8.362
1723539603040000000,8.637
1723539603050000000,8.163
1723539603060000000,8.175
1723539603070000000,7.793
1723539603080000000,8.502
1723539603090000000,8.265
1723539603100000000,8.826
1723539603110000000,8.448
1723539603120000000,8.844
1723539603130000000,8.167
1723539603140000000,8.329
1723539603150000000,8.547
1723539603160000000,8.521
1723539603170000000,8.206
1723539603180000000,8.358
1723539603190000000,8.319
1723539603200000000,8.169
1723539603210000000,7.983
1723539603220000000,8.600
1723539603230000000,8.462
1723539603240000000,8.485
1723539603250000000,8.449
1723539603260000000,8.654
1723539603270000000,8.658
1723539603280000000,8.647
1723539603290000000,8.433
1723539603300000000,8.482
1723539603310000000,8.076
1723539603320000000,8.893
1723539603330000000,8.726
1723539603340000000,8.870
1723539603350000000,8.335
1723539603360000000,8.432
1723539603370000000,9.412
1723539603380000000,8.754
1723539603390000000,8.868
1723539603400000000,8.344
1723539603410000000,8.556
1723539603420000000,7.903
1723539603430000000,8.651
1723539603440000000,8.429
1723539603450000000,8.758
1723539603460000000,8.734
1723539603470000000,9.138
1723539603480000000,8.324
1723539603490000000,7.948
1723539603500000000,8.719
1723539603510000000,8.815
1723539603520000000,9.039
1723539603530000000,8.661
1723539603540000000,9.146
1723539603550000000,8.395
1723539603560000000,8.565
1723539603570000000,9.076
1723539603580000000,9.284
