timestamp_ns,value_kN
1721984400000000000,0.000
1721984400010000000,0.211
1721984400020000000,0.000
1721984400030000000,0.179
1721984400040000000,0.000
1721984400050000000,0.000
1721984400060000000,0.000
1721984400070000000,0.001
1721984400080000000,0.000
1721984400090000000,0.000
1721984400100000000,0.110
1721984400110000000,0.000
1721984400120000000,0.000
1721984400130000000,0.000
1721984400140000000,0.000
1721984400150000000,0.000
1721984400160000000,0.099
1721984400170000000,0.217
1721984400180000000,0.000
1721984400190000000,0.000
1721984400200000000,0.000
1721984400210000000,0.000
1721984400220000000,0.046
1721984400230000000,0.006
1721984400240000000,0.000
1721984400250000000,0.000
1721984400260000000,0.010
1721984400270000000,0.000
1721984400280000000,0.043
1721984400290000000,0.000
1721984400300000000,0.227
1721984400310000000,0.000
1721984400320000000,0.153
1721984400330000000,0.298
1721984400340000000,0.000
1721984400350000000,0.115
1721984400360000000,0.000
1721984400370000000,0.123
1721984400380000000,0.301
1721984400390000000,0.033
1721984400400000000,0.000
1721984400410000000,0.175
1721984400420000000,0.145
1721984400430000000,0.000
1721984400440000000,0.000
1721984400450000000,0.195
1721984400460000000,0.000
1721984400470000000,0.000
1721984400480000000,0.200
1721984400490000000,0.104
1721984400500000000,0.000
1721984400510000000,0.174
1721984400520000000,0.000
1721984400530000000,0.000
1721984400540000000,0.175
1721984400550000000,0.000
1721984400560000000,0.104
1721984400570000000,0.000
1721984400580000000,0.024
1721984400590000000,0.000
1721984400600000000,0.000
1721984400610000000,0.000
1721984400620000000,0.000
1721984400630000000,0.000
1721984400640000000,0.126
1721984400650000000,0.000
1721984400660000000,0.000
1721984400670000000,0.086
1721984400680000000,0.000
1721984400690000000,0.000
1721984400700000000,0.000
1721984400710000000,0.000
1721984400720000000,0.000
1721984400730000000,0.000
1721984400740000000,0.000
1721984400750000000,0.000
1721984400760000000,0.080
1721984400770000000,0.085
1721984400780000000,0.027
1721984400790000000,0.000
1721984400800000000,0.164
1721984400810000000,0.000
1721984400820000000,0.055
1721984400830000000,0.000
1721984400840000000,0.128
1721984400850000000,0.017
1721984400860000000,0.000
1721984400870000000,0.209
1721984400880000000,0.036
1721984400890000000,0.075
1721984400900000000,0.000
1721984400910000000,0.001
1721984400920000000,0.058
1721984400930000000,0.000
1721984400940000000,0.110
1721984400950000000,0.000
1721984400960000000,0.109
1721984400970000000,0.000
1721984400980000000,0.000
1721984400990000000,0.010
1721984401000000000,0.163
1721984401010000000,0.000
1721984401020000000,0.056
1721984401030000000,0.000
1721984401040000000,0.069
1721984401050000000,0.000
1721984401060000000,0.040
1721984401070000000,0.045
1721984401080000000,0.000
1721984401090000000,0.000
1721984401100000000,0.000
1721984401110000000,0.023
1721984401120000000,0.232
1721984401130000000,0.000
1721984401140000000,0.000
1721984401150000000,0.000
1721984401160000000,0.000
1721984401170000000,0.000
1721984401180000000,0.000
1721984401190000000,0.049
1721984401200000000,0.114
1721984401210000000,0.015
1721984401220000000,0.067
1721984401230000000,0.107
1721984401240000000,0.223
1721984401250000000,0.050
1721984401260000000,0.000
1721984401270000000,0.086
1721984401280000000,0.000
1721984401290000000,0.039
1721984401300000000,0.000
1721984401310000000,0.095
1721984401320000000,0.000
1721984401330000000,0.129
1721984401340000000,0.000
1721984401350000000,0.052
