timestamp_ns,value
1721977200000000000,17.432
1721977200100000000,17.0347
1721977200200000000,19.1601
1721977200300000000,19.9616
1721977200400000000,18.2779
1721977200500000000,22.0541
1721977200600000000,19.7879
1721977200700000000,20.6946
1721977200800000000,17.0933
1721977200900000000,13.7657
1721977201000000000,16.402
1721977201100000000,11.318
1721977201200000000,12.8184
1721977201300000000,12.5607
1721977201400000000,10.5629
1721977201500000000,13.5999
1721977201600000000,7.2502
1721977201700000000,9.0359
1721977201800000000,12.6822
1721977201900000000,14.2155
1721977202000000000,18.1589
1721977202100000000,14.4874
1721977202200000000,14.7461
1721977202300000000,16.1565
1721977202400000000,17.6448
1721977202500000000,12.1895
1721977202600000000,13.317
1721977202700000000,11.0045
1721977202800000000,15.8575
1721977202900000000,17.026
1721977203000000000,18.7631
1721977203100000000,21.2429
1721977203200000000,19.0377
1721977203300000000,20.6076
1721977203400000000,19.7272
1721977203500000000,17.6484
1721977203600000000,15.8944
1721977203700000000,16.3176
1721977203800000000,8.3917
1721977203900000000,13.5167
1721977204000000000,8.1172
1721977204100000000,13.1934
1721977204200000000,12.0995
1721977204300000000,9.7775
1721977204400000000,12.6125
1721977204500000000,10.5148
1721977204600000000,12.1257
1721977204700000000,13.0221
1721977204800000000,12.9514
1721977204900000000,16.7291
1721977205000000000,16.4213
1721977205100000000,18.2416
1721977205200000000,14.8282
1721977205300000000,10.7799
1721977205400000000,14.9666
1721977205500000000,18.8417
1721977205600000000,16.6016
1721977205700000000,19.5856
1721977205800000000,21.717
1721977205900000000,21.9287
1721977206000000000,19.1956
1721977206100000000,17.6241
1721977206200000000,16.3619
1721977206300000000,16.5525
1721977206400000000,14.2591
1721977206500000000,14.337
1721977206600000000,12.9627
1721977206700000000,12.4323
1721977206800000000,11.4061
1721977206900000000,13.0481
1721977207000000000,11.6229
1721977207100000000,12.4992
1721977207200000000,12.5455
1721977207300000000,8.7255
1721977207400000000,12.8207
1721977207500000000,16.3035
1721977207600000000,17.1158
1721977207700000000,15.6087
1721977207800000000,14.4028
1721977207900000000,12.6646
1721977208000000000,13.9963
1721977208100000000,16.0496
1721977208200000000,18.9157
1721977208300000000,18.596
1721977208400000000,17.979
1721977208500000000,23.8406
1721977208600000000,21.8795
1721977208700000000,17.8578
1721977208800000000,14.4284
1721977208900000000,21.4861
1721977209000000000,17.0717
1721977209100000000,17.3031
1721977209200000000,14.6011
1721977209300000000,16.2371
1721977209400000000,14.7786
1721977209500000000,13.7164
1721977209600000000,11.6355
1721977209700000000,11.2497
1721977209800000000,11.3304
1721977209900000000,14.7809
1721977210000000000,15.2284
1721977210100000000,15.6198
1721977210200000000,12.6017
1721977210300000000,14.9216
1721977210400000000,13.9815
1721977210500000000,16.2964
1721977210600000000,16.6698
1721977210700000000,16.8407
1721977210800000000,14.458
1721977210900000000,16.2526
1721977211000000000,17.3862
1721977211100000000,20.874
1721977211200000000,17.9968
1721977211300000000,21.1992
1721977211400000000,18.8524
1721977211500000000,17.1877
1721977211600000000,18.678
1721977211700000000,18.0139
1721977211800000000,16.3001
1721977211900000000,10.7954
1721977212000000000,13.3404
1721977212100000000,11.4764
1721977212200000000,10.7272
1721977212300000000,9.3576
1721977212400000000,11.0355
1721977212500000000,14.5961
1721977212600000000,9.5448
1721977212700000000,11.7014
1721977212800000000,15.5058
1721977212900000000,15.6915
1721977213000000000,11.007
1721977213100000000,13.1146
1721977213200000000,14.8095
1721977213300000000,14.5458
1721977213400000000,14.6769
1721977213500000000,12.3537
1721977213600000000,12.9171
1721977213700000000,15.9471
1721977213800000000,19.0296
1721977213900000000,23.4053
1721977214000000000,18.8939
1721977214100000000,16.0316
1721977214200000000,16.7702
1721977214300000000,18.7363
1721977214400000000,20.3713
1721977214500000000,13.8052
1721977214600000000,9.2127
1721977214700000000,10.8535
1721977214800000000,12.3582
1721977214900000000,8.7243
1721977215000000000,11.6126
1721977215100000000,10.2727
1721977215200000000,8.5274
1721977215300000000,15.1552
1721977215400000000,11.5279
1721977215500000000,12.7534
1721977215600000000,18.7845
1721977215700000000,15.541
1721977215800000000,15.2038
1721977215900000000,15.7246
1721977216000000000,16.349
1721977216100000000,17.6366
1721977216200000000,14.9028
1721977216300000000,17.5024
1721977216400000000,16.3144
1721977216500000000,12.2747
1721977216600000000,18.6998
1721977216700000000,20.3116
1721977216800000000,17.2411
1721977216900000000,22.6693
1721977217000000000,17.4191
1721977217100000000,21.7583
1721977217200000000,18.2717
1721977217300000000,13.4993
1721977217400000000,14.6476
1721977217500000000,4.088
1721977217600000000,10.0318
1721977217700000000,8.4273
1721977217800000000,8.9485
1721977217900000000,9.4039
1721977218000000000,13.031
1721977218100000000,14.9359
1721977218200000000,12.6284
1721977218300000000,17.1726
1721977218400000000,15.5864
1721977218500000000,17.0997
1721977218600000000,13.1863
1721977218700000000,13.3131
1721977218800000000,17.3517
1721977218900000000,11.5282
1721977219000000000,18.5485
1721977219100000000,19.991
1721977219200000000,21.2811
1721977219300000000,21.228
1721977219400000000,20.3023
1721977219500000000,18.9319
1721977219600000000,19.5767
1721977219700000000,18.4361
1721977219800000000,16.341
1721977219900000000,10.524
1721977220000000000,11.9109
1721977220100000000,13.4683
1721977220200000000,8.7814
1721977220300000000,9.6584
1721977220400000000,10.0014
1721977220500000000,13.0217
1721977220600000000,12.4406
1721977220700000000,13.6755
1721977220800000000,12.908
1721977220900000000,17.0745
1721977221000000000,14.9697
1721977221100000000,11.933
1721977221200000000,13.4981
1721977221300000000,17.169
1721977221400000000,15.6308
1721977221500000000,10.0609
1721977221600000000,17.7464
1721977221700000000,15.6717
1721977221800000000,21.4799
1721977221900000000,18.3371
1721977222000000000,19.609
1721977222100000000,21.5156
1721977222200000000,22.2797
1721977222300000000,20.4535
1721977222400000000,17.9418
1721977222500000000,16.9011
1721977222600000000,19.9973
1721977222700000000,15.3262
1721977222800000000,11.2951
1721977222900000000,10.8677
1721977223000000000,9.026
1721977223100000000,12.2077
1721977223200000000,10.5323
1721977223300000000,12.6569
1721977223400000000,12.5256
1721977223500000000,14.317
1721977223600000000,18.9626
1721977223700000000,17.5704
1721977223800000000,13.012
1721977223900000000,15.7209
1721977224000000000,14.1117
1721977224100000000,15.4667
1721977224200000000,17.6139
1721977224300000000,15.9651
1721977224400000000,17.9319
1721977224500000000,16.4073
1721977224600000000,18.5651
1721977224700000000,21.2711
1721977224800000000,19.8775
1721977224900000000,17.2529
1721977225000000000,19.7416
1721977225100000000,19.5059
1721977225200000000,16.4438
1721977225300000000,14.8595
1721977225400000000,12.6775
1721977225500000000,11.3894
1721977225600000000,10.3869
1721977225700000000,12.0919
1721977225800000000,9.6897
1721977225900000000,5.1793
1721977226000000000,9.6626
1721977226100000000,12.0049
1721977226200000000,13.5286
1721977226300000000,19.2442
1721977226400000000,16.7477
1721977226500000000,12.9908
1721977226600000000,13.7722
1721977226700000000,14.1533
1721977226800000000,16.8032
1721977226900000000,14.7063
1721977227000000000,13.4709
1721977227100000000,15.4464
1721977227200000000,18.6789
1721977227300000000,19.9936
1721977227400000000,23.6002
1721977227500000000,22.0947
1721977227600000000,17.7256
1721977227700000000,22.0449
1721977227800000000,19.1131
1721977227900000000,12.8299
1721977228000000000,13.1986
1721977228100000000,14.186
1721977228200000000,11.6907
1721977228300000000,11.4893
