timestamp_ns,value_pct
1721725200000000000,0.102
1721725200010000000,0.000
1721725200020000000,0.025
1721725200030000000,0.000
1721725200040000000,0.000
1721725200050000000,0.000
1721725200060000000,0.000
1721725200070000000,0.000
1721725200080000000,0.037
1721725200090000000,0.000
1721725200100000000,0.120
1721725200110000000,0.000
1721725200120000000,0.000
1721725200130000000,0.000
1721725200140000000,0.000
1721725200150000000,0.000
1721725200160000000,0.062
1721725200170000000,0.017
1721725200180000000,0.081
1721725200190000000,0.038
1721725200200000000,0.000
1721725200210000000,0.000
1721725200220000000,0.070
1721725200230000000,0.000
1721725200240000000,0.368
1721725200250000000,0.088
1721725200260000000,0.066
1721725200270000000,0.131
1721725200280000000,0.166
1721725200290000000,0.000
1721725200300000000,0.000
1721725200310000000,0.000
1721725200320000000,0.000
1721725200330000000,0.000
1721725200340000000,0.029
1721725200350000000,0.024
1721725200360000000,0.022
1721725200370000000,0.014
1721725200380000000,0.000
1721725200390000000,0.072
1721725200400000000,0.000
1721725200410000000,0.000
1721725200420000000,0.024
1721725200430000000,0.000
1721725200440000000,0.039
1721725200450000000,0.000
1721725200460000000,0.000
1721725200470000000,0.000
1721725200480000000,0.000
1721725200490000000,0.000
1721725200500000000,0.000
1721725200510000000,0.056
1721725200520000000,0.081
1721725200530000000,0.000
1721725200540000000,0.000
1721725200550000000,0.000
1721725200560000000,0.000
1721725200570000000,0.001
1721725200580000000,0.029
1721725200590000000,0.137
1721725200600000000,0.105
1721725200610000000,0.201
1721725200620000000,0.032
1721725200630000000,0.044
1721725200640000000,0.000
1721725200650000000,0.000
1721725200660000000,0.049
1721725200670000000,0.000
1721725200680000000,0.030
1721725200690000000,0.000
1721725200700000000,0.000
1721725200710000000,0.000
1721725200720000000,0.000
1721725200730000000,0.000
1721725200740000000,0.075
1721725200750000000,0.185
1721725200760000000,0.000
1721725200770000000,0.000
1721725200780000000,0.091
1721725200790000000,0.000
1721725200800000000,0.135
1721725200810000000,0.121
1721725200820000000,0.229
1721725200830000000,0.078
1721725200840000000,0.158
1721725200850000000,0.000
1721725200860000000,0.000
1721725200870000000,0.000
1721725200880000000,0.125
1721725200890000000,0.025
1721725200900000000,0.212
1721725200910000000,0.000
1721725200920000000,0.284
1721725200930000000,0.043
1721725200940000000,0.067
1721725200950000000,0.157
1721725200960000000,0.000
1721725200970000000,0.000
1721725200980000000,0.024
1721725200990000000,0.000
1721725201000000000,0.000
1721725201010000000,0.000
1721725201020000000,0.000
1721725201030000000,0.000
1721725201040000000,0.008
1721725201050000000,0.000
1721725201060000000,0.000
1721725201070000000,0.000
1721725201080000000,0.000
1721725201090000000,0.065
1721725201100000000,0.000
1721725201110000000,0.000
1721725201120000000,0.000
1721725201130000000,0.000
1721725201140000000,0.000
1721725201150000000,0.198
1721725201160000000,0.039
1721725201170000000,0.062
1721725201180000000,0.000
1721725201190000000,0.000
1721725201200000000,0.006
1721725201210000000,0.058
1721725201220000000,0.284
1721725201230000000,0.000
1721725201240000000,0.000
1721725201250000000,0.131
1721725201260000000,0.123
1721725201270000000,0.017
1721725201280000000,0.042
1721725201290000000,0.055
1721725201300000000,0.180
1721725201310000000,0.000
