timestamp_ns,value_kN
1720947600000000000,0.293
1720947600010000000,0.150
1720947600020000000,0.000
1720947600030000000,0.000
1720947600040000000,0.251
1720947600050000000,0.136
1720947600060000000,0.000
1720947600070000000,0.030
1720947600080000000,0.000
1720947600090000000,0.110
1720947600100000000,0.225
1720947600110000000,0.042
1720947600120000000,0.000
1720947600130000000,0.036
1720947600140000000,0.000
1720947600150000000,0.182
1720947600160000000,0.112
1720947600170000000,0.169
1720947600180000000,0.038
1720947600190000000,0.085
1720947600200000000,0.021
1720947600210000000,0.150
1720947600220000000,0.091
1720947600230000000,0.156
1720947600240000000,0.165
1720947600250000000,0.067
1720947600260000000,0.000
1720947600270000000,0.000
1720947600280000000,0.094
1720947600290000000,0.048
1720947600300000000,0.000
1720947600310000000,0.186
1720947600320000000,0.041
1720947600330000000,0.042
1720947600340000000,0.037
1720947600350000000,0.071
1720947600360000000,0.000
1720947600370000000,0.054
1720947600380000000,0.000
1720947600390000000,0.279
1720947600400000000,0.010
1720947600410000000,0.206
1720947600420000000,0.000
1720947600430000000,0.013
1720947600440000000,0.000
1720947600450000000,0.042
1720947600460000000,0.000
1720947600470000000,0.000
1720947600480000000,0.000
1720947600490000000,0.000
1720947600500000000,0.000
1720947600510000000,0.000
1720947600520000000,0.209
1720947600530000000,0.000
1720947600540000000,0.016
1720947600550000000,0.068
1720947600560000000,0.000
1720947600570000000,0.000
1720947600580000000,0.000
1720947600590000000,0.019
1720947600600000000,0.093
1720947600610000000,0.000
1720947600620000000,0.000
1720947600630000000,0.000
1720947600640000000,0.000
1720947600650000000,0.106
1720947600660000000,0.125
1720947600670000000,0.000
1720947600680000000,0.174
1720947600690000000,0.000
1720947600700000000,0.000
1720947600710000000,0.000
1720947600720000000,0.000
1720947600730000000,0.025
1720947600740000000,0.000
1720947600750000000,0.000
1720947600760000000,0.061
1720947600770000000,0.000
1720947600780000000,0.087
1720947600790000000,0.000
1720947600800000000,0.000
1720947600810000000,0.068
1720947600820000000,0.148
1720947600830000000,0.122
1720947600840000000,0.000
1720947600850000000,0.000
1720947600860000000,0.157
1720947600870000000,0.005
1720947600880000000,0.060
1720947600890000000,0.000
1720947600900000000,0.000
1720947600910000000,0.048
1720947600920000000,0.000
1720947600930000000,0.000
1720947600940000000,0.049
1720947600950000000,0.000
1720947600960000000,0.090
1720947600970000000,0.030
1720947600980000000,0.000
1720947600990000000,0.058
1720947601000000000,0.000
1720947601010000000,0.189
1720947601020000000,0.035
1720947601030000000,0.000
1720947601040000000,0.000
1720947601050000000,0.114
1720947601060000000,0.071
1720947601070000000,0.085
1720947601080000000,0.128
1720947601090000000,0.000
1720947601100000000,0.000
1720947601110000000,0.192
1720947601120000000,0.000
1720947601130000000,0.123
1720947601140000000,0.000
1720947601150000000,0.108
1720947601160000000,0.000
1720947601170000000,0.044
1720947601180000000,0.008
1720947601190000000,0.000
1720947601200000000,0.074
1720947601210000000,0.203
1720947601220000000,0.014
1720947601230000000,0.093
1720947601240000000,0.000
1720947601250000000,0.118
1720947601260000000,0.211
1720947601270000000,0.000
1720947601280000000,0.034
1720947601290000000,0.000
1720947601300000000,0.056
1720947601310000000,0.086
1720947601320000000,0.000
1720947601330000000,0.283
1720947601340000000,0.000
1720947601350000000,0.098
1720947601360000000,0.000
1720947601370000000,0.067
1720947601380000000,0.000
1720947601390000000,0.072
1720947601400000000,0.000
1720947601410000000,0.077
1720947601420000000,0.167
1720947601430000000,0.046
1720947601440000000,0.168
1720947601450000000,0.000
1720947601460000000,0.000
1720947601470000000,0.074
1720947601480000000,0.021
1720947601490000000,0.000
1720947601500000000,0.184
1720947601510000000,0.115
1720947601520000000,0.000
1720947601530000000,0.000
1720947601540000000,0.110
1720947601550000000,0.000
1720947601560000000,0.036
1720947601570000000,0.000
1720947601580000000,0.000
1720947601590000000,0.083
1720947601600000000,0.205
1720947601610000000,0.084
1720947601620000000,0.017
1720947601630000000,0.025
1720947601640000000,0.000
1720947601650000000,0.000
1720947601660000000,0.058
1720947601670000000,0.000
1720947601680000000,0.032
1720947601690000000,0.000
1720947601700000000,0.015
1720947601710000000,0.000
1720947601720000000,0.146
1720947601730000000,0.000
1720947601740000000,0.039
1720947601750000000,0.042
1720947601760000000,0.112
1720947601770000000,0.000
1720947601780000000,0.000
1720947601790000000,0.000
1720947601800000000,0.098
1720947601810000000,0.228
1720947601820000000,0.019
1720947601830000000,0.000
1720947601840000000,0.015
1720947601850000000,0.118
1720947601860000000,0.000
1720947601870000000,0.000
1720947601880000000,0.000
1720947601890000000,0.000
1720947601900000000,0.000
1720947601910000000,0.000
1720947601920000000,0.000
1720947601930000000,0.252
1720947601940000000,0.000
1720947601950000000,0.000
1720947601960000000,0.005
1720947601970000000,0.085
1720947601980000000,0.000
1720947601990000000,0.045
1720947602000000000,0.000
1720947602009999999,0.727
1720947602020000000,0.000
1720947602029999999,0.094
1720947602040000000,0.380
1720947602049999999,0.667
1720947602060000000,0.200
1720947602069999999,0.761
1720947602080000000,0.000
1720947602089999999,0.472
1720947602100000000,0.996
1720947602109999999,0.654
1720947602120000000,0.669
1720947602130000000,1.269
1720947602140000000,1.864
1720947602150000000,0.565
1720947602160000000,1.575
1720947602170000000,1.084
1720947602180000000,1.466
1720947602190000000,1.234
1720947602200000000,1.273
1720947602210000000,1.521
1720947602220000000,1.503
1720947602230000000,1.595
1720947602240000000,1.809
1720947602250000000,1.910
1720947602260000000,2.524
1720947602270000000,1.777
1720947602280000000,2.331
1720947602290000000,2.821
1720947602300000000,2.575
1720947602310000000,2.862
1720947602320000000,2.339
1720947602330000000,2.666
1720947602340000000,2.535
1720947602350000000,2.718
1720947602360000000,2.783
1720947602370000000,3.249
1720947602380000000,2.598
1720947602390000000,3.043
1720947602400000000,3.477
1720947602410000000,3.710
1720947602420000000,3.834
1720947602430000000,3.099
1720947602440000000,3.629
1720947602450000000,3.538
1720947602460000000,3.550
1720947602470000000,3.424
1720947602480000000,2.988
1720947602490000000,3.963
1720947602500000000,3.806
1720947602510000000,4.326
1720947602520000000,3.813
1720947602530000000,3.801
1720947602540000000,4.362
1720947602550000000,4.541
1720947602560000000,3.659
1720947602570000000,4.426
1720947602580000000,4.296
1720947602590000000,4.954
1720947602600000000,4.162
1720947602610000000,4.352
1720947602620000000,4.743
1720947602630000000,5.141
1720947602640000000,4.886
1720947602650000000,4.763
1720947602660000000,4.630
1720947602670000000,5.049
1720947602680000000,5.313
1720947602690000000,5.205
1720947602700000000,5.837
1720947602710000000,5.565
1720947602720000000,6.156
1720947602730000000,5.525
1720947602740000000,5.486
1720947602750000000,5.624
1720947602760000000,5.595
1720947602770000000,5.382
1720947602780000000,5.488
1720947602790000000,5.745
1720947602800000000,6.434
1720947602810000000,6.131
1720947602820000000,5.762
1720947602830000000,6.220
1720947602840000000,5.938
1720947602850000000,6.252
1720947602860000000,6.301
1720947602870000000,6.700
1720947602880000000,6.424
1720947602890000000,6.207
1720947602900000000,6.665
1720947602910000000,6.958
1720947602920000000,6.881
1720947602930000000,6.909
1720947602940000000,6.905
1720947602950000000,7.144
1720947602960000000,7.820
1720947602970000000,7.419
1720947602980000000,7.010
1720947602990000000,7.509
1720947603000000000,8.371
1720947603010000000,8.565
1720947603020000000,8.506
1720947603030000000,8.085
1720947603040000000,8.189
1720947603050000000,8.404
1720947603060000000,7.644
1720947603070000000,8.716
1720947603080000000,7.896
1720947603090000000,8.071
1720947603100000000,7.790
1720947603110000000,8.084
1720947603120000000,8.517
1720947603130000000,7.939
1720947603140000000,8.577
1720947603150000000,7.463
1720947603160000000,8.265
1720947603170000000,8.339
1720947603180000000,8.376
1720947603190000000,8.708
1720947603200000000,8.316
1720947603210000000,8.723
1720947603220000000,8.548
1720947603230000000,8.721
1720947603240000000,9.001
1720947603250000000,9.224
1720947603260000000,8.324
1720947603270000000,8.759
1720947603280000000,8.363
1720947603290000000,7.961
1720947603300000000,8.070
1720947603310000000,8.567
1720947603320000000,8.477
1720947603330000000,8.082
1720947603340000000,8.625
1720947603350000000,8.810
1720947603360000000,8.546
1720947603370000000,8.542
1720947603380000000,8.938
1720947603390000000,8.256
1720947603400000000,7.957
1720947603410000000,8.115
1720947603420000000,8.600
1720947603430000000,8.583
1720947603440000000,8.712
1720947603450000000,8.723
1720947603460000000,9.002
1720947603470000000,9.253
1720947603480000000,8.503
1720947603490000000,8.644
1720947603500000000,9.013
1720947603510000000,8.819
1720947603520000000,8.627
1720947603530000000,8.164
1720947603540000000,8.830
1720947603550000000,9.253
1720947603560000000,8.592
1720947603570000000,9.009
1720947603580000000,8.672
1720947603590000000,8.513
1720947603600000000,9.210
1720947603610000000,8.660
1720947603620000000,9.083
1720947603630000000,8.378
1720947603640000000,9.048
1720947603650000000,8.602
1720947603660000000,9.338
1720947603670000000,9.443
1720947603680000000,9.395
1720947603690000000,8.797
1720947603700000000,8.975
1720947603710000000,9.097
1720947603720000000,9.092
1720947603730000000,9.166
1720947603740000000,8.820
1720947603750000000,8.886
1720947603760000000,10.121
1720947603770000000,9.190
1720947603780000000,9.321
1720947603790000000,9.060
1720947603800000000,8.992
1720947603810000000,9.352
1720947603820000000,10.047
1720947603830000000,9.584
1720947603840000000,9.217
1720947603850000000,9.331
1720947603860000000,9.890
1720947603870000000,9.409
1720947603880000000,10.459
1720947603890000000,9.775
1720947603900000000,10.038
1720947603910000000,9.740
1720947603920000000,9.689
1720947603930000000,9.891
1720947603940000000,10.100
1720947603950000000,9.661
1720947603960000000,9.795
1720947603970000000,9.472
1720947603980000000,9.839
1720947603990000000,9.131
1720947604000000000,9.946
1720947604010000000,10.183
1720947604019999999,9.795
1720947604030000000,9.988
1720947604040000000,10.221
1720947604050000000,9.295
1720947604059999999,10.170
1720947604070000000,10.131
1720947604080000000,10.025
1720947604090000000,10.493
1720947604099999999,9.631
1720947604110000000,9.889
1720947604120000000,10.267
1720947604130000000,10.631
1720947604139999999,10.142
1720947604150000000,10.146
1720947604160000000,10.334
1720947604170000000,10.028
1720947604179999999,10.608
1720947604190000000,10.463
1720947604200000000,10.042
1720947604210000000,10.812
1720947604219999999,10.194
1720947604230000000,10.272
1720947604240000000,10.739
1720947604250000000,11.013
1720947604260000000,10.557
1720947604269999999,10.733
1720947604280000000,10.835
1720947604290000000,10.643
1720947604300000000,10.838
1720947604310000000,11.283
1720947604320000000,10.728
1720947604330000000,11.384
1720947604340000000,10.832
1720947604350000000,10.361
1720947604360000000,10.837
1720947604370000000,11.812
1720947604380000000,10.866
1720947604390000000,11.374
1720947604400000000,11.483
1720947604410000000,10.740
1720947604420000000,10.667
1720947604430000000,11.261
1720947604440000000,11.221
1720947604450000000,11.457
1720947604460000000,11.491
1720947604470000000,11.733
1720947604480000000,11.502
1720947604490000000,11.268
1720947604500000000,11.771
1720947604510000000,11.337
1720947604520000000,11.713
1720947604530000000,10.935
1720947604540000000,11.306
