timestamp_ns,value_kN
1723021200000000000,0.000
1723021200010000000,0.038
1723021200020000000,0.000
1723021200030000000,0.000
1723021200040000000,0.059
1723021200050000000,0.000
1723021200060000000,0.258
1723021200070000000,0.000
1723021200080000000,0.014
1723021200090000000,0.130
1723021200100000000,0.142
1723021200110000000,0.012
1723021200120000000,0.000
1723021200130000000,0.000
1723021200140000000,0.162
1723021200150000000,0.030
1723021200160000000,0.141
1723021200170000000,0.000
1723021200180000000,0.000
1723021200190000000,0.000
1723021200200000000,0.000
1723021200210000000,0.012
1723021200220000000,0.000
1723021200230000000,0.032
1723021200240000000,0.063
1723021200250000000,0.000
1723021200260000000,0.000
1723021200270000000,0.000
1723021200280000000,0.000
1723021200290000000,0.000
1723021200300000000,0.000
1723021200310000000,0.032
1723021200320000000,0.000
1723021200330000000,0.125
1723021200340000000,0.000
1723021200350000000,0.000
1723021200360000000,0.000
1723021200370000000,0.135
1723021200380000000,0.030
1723021200390000000,0.000
1723021200400000000,0.066
1723021200410000000,0.016
1723021200420000000,0.010
1723021200430000000,0.000
1723021200440000000,0.000
1723021200450000000,0.180
1723021200460000000,0.164
1723021200470000000,0.052
1723021200480000000,0.000
1723021200490000000,0.165
1723021200500000000,0.000
1723021200510000000,0.004
1723021200520000000,0.046
1723021200530000000,0.239
1723021200540000000,0.011
1723021200550000000,0.000
1723021200560000000,0.000
1723021200570000000,0.000
1723021200580000000,0.163
1723021200590000000,0.048
1723021200600000000,0.226
1723021200610000000,0.000
1723021200620000000,0.090
1723021200630000000,0.000
1723021200640000000,0.000
1723021200650000000,0.036
1723021200660000000,0.060
1723021200670000000,0.000
1723021200680000000,0.086
1723021200690000000,0.000
1723021200700000000,0.000
1723021200710000000,0.191
1723021200720000000,0.000
1723021200730000000,0.145
1723021200740000000,0.000
1723021200750000000,0.103
1723021200760000000,0.000
1723021200770000000,0.007
1723021200780000000,0.000
1723021200790000000,0.000
1723021200800000000,0.000
1723021200810000000,0.037
1723021200820000000,0.022
1723021200830000000,0.109
1723021200840000000,0.116
1723021200850000000,0.000
1723021200860000000,0.000
1723021200870000000,0.137
1723021200880000000,0.000
1723021200890000000,0.000
1723021200900000000,0.009
1723021200910000000,0.110
1723021200920000000,0.139
1723021200930000000,0.134
1723021200940000000,0.004
1723021200950000000,0.000
